FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;4.9995;-3.43;-0.1775;Vinter;0;;0;;;5.177;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;5.3;-3.43;-0.188;Vinter;0;;0;;;5.488;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum Core ETP;CETH;CETH S ;CETH SE ;120976313;CH1209763130;21Shares AG;21Shares AG;USD;USD;0.21;Physical;passive;Flow Traders B.V.;4.3255;-1.68;-0.074;N/A ;0;;0;;;4.3995;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;N/A 
21Shares Ethereum ETP;AETH;AETH;AETH SE;45466402;CH0454664027;21Shares AG;21Shares AG;CHF;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);12.328;-0.42;-0.052;Ethereum;350;12.116;350;12.168;0.4283;12.38;20221219;192200;12.222;12.222;12.22;1838;0;22548.33;22548.33;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S;AETH SE;45466402;CH0454664027;21Shares AG;21Shares AG;EUR;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);12.342;-2.68;-0.34;Ethereum;350;12.28;350;12.332;0.4226;12.682;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S ;AETH SE ;45466402;CH0454664027;21Shares AG;21Shares AG;GBP;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);10.764;-1.75;-0.192;Ethereum;350;10.712;350;10.758;0.4285;10.956;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S;AETH SE ;45466402;CH0454664027;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Virtu Financial Ireland Ltd.;13.074;-2.37;-0.318;Ethereum;350;13.038;350;13.092;0.4133;13.392;20221219;192200;13.11;13.11;13.074;25032;0;329795.48;307138.53;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;2.256;-9.05;-0.2245;Vinter;0;;0;;;2.4805;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;1.9914;-9.01;-0.1971;Vinter;0;;0;;;2.1885;20221219;192200;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.|Virtu Financial Ireland Ltd.;2.44;-8.56;-0.2285;Vinter;0;;105;2.75;;2.6685;20221219;192200;2.4375;2.4375;2.427;25560;0;62547.21;58250.22;Exchange Traded Product;Crypto;Global;Switzerland;N/A
