FundLongName;ValorSymbol;FundReutersTicker;FundBloombergTicker;ValorNumber;ISIN;IssuerLongNameDesc;IssuerNameFull;TradingBaseCurrency;FundCurrency;ManagementFee;ReplicationMethodDesc;ManagementStyleDesc;MarketMakers;ClosingPrice;ClosingPerformance;ClosingDelta;FundUnderlyingDescription;BidVolume;BidPrice;AskVolume;AskPrice;MidSpread;PreviousClosingPrice;MarketDate;MarketTime;OpeningPrice;OpeningPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;ProductLineDesc;AssetClassDesc;UnderlyingGeographicalDesc;LegalStructureCountryDesc;UnderlyingProviderDesc
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;5.12;-5.93;-0.323;Vinter;0;;0;;;5.443;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;EUR;USD;2.5;physical;passive;Flow Traders B.V.;5.177;-5.84;-0.321;Vinter;0;;0;;;5.498;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Crypto Mid-Cap Index ETP (ALTS);ALTS;ALTS.S;ALTS SE;113067567;CH1130675676;21Shares AG;21Shares AG;USD;USD;2.5;physical;passive;Flow Traders B.V.;5.488;-6.3;-0.369;Vinter;0;;0;;;5.857;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum Core ETP;CETH;CETH S ;CETH SE ;120976313;CH1209763130;21Shares AG;21Shares AG;USD;USD;0.21;Physical;passive;Flow Traders B.V.;4.3995;-5.97;-0.2795;N/A ;0;;0;;;4.679;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Switzerland;Switzerland;N/A 
21Shares Ethereum ETP;AETH;AETH;AETH SE;45466402;CH0454664027;21Shares AG;21Shares AG;CHF;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);12.38;-5.5;-0.72;Ethereum;100;12;400;15;22.2222;13.1;20221216;;13;13;12.38;1140;0;14738.7;14738.7;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S;AETH SE;45466402;CH0454664027;21Shares AG;21Shares AG;EUR;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);12.682;-4.7;-0.626;Ethereum;445;10.63;400;15;34.1007;13.308;20221216;;13.352;13.352;12.682;146;0;1882.39;1858.86;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S ;AETH SE ;45466402;CH0454664027;21Shares AG;21Shares AG;GBP;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP);10.956;-5.29;-0.612;Ethereum;0;;0;;;11.568;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Ethereum ETP;AETH;AETH.S;AETH SE ;45466402;CH0454664027;21Shares AG;21Shares AG;USD;USD;2.5;Unknown;passive;Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Virtu Financial Ireland Ltd.;13.392;-5.13;-0.724;Ethereum;3050;11.48;7400;14.4;22.5657;14.116;20221216;;14.21;14.21;13.392;27873;0;375853.38;348528.84;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;CHF;USD;2.5;physical;passive;Flow Traders B.V.;2.4805;-2.8;-0.0715;Vinter;0;;0;;;2.552;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
21Shares Polkadot (ADOT) ETP;ADOT;ADOT.S;ADOT SE;59333156;CH0593331561;21Shares AG;21Shares AG;GBP;USD;2.5;physical;passive;Flow Traders B.V.;2.1885;-2.63;-0.059;Vinter;0;;0;;;2.2475;20221216;;;;;0;0;0;0;Exchange Traded Product;Crypto;Global;Switzerland;N/A
